Famille,Modele,Zoom,Dimension,IoU_Seuil,Nb_Images,SQ,DQ,PQ,TP,FP,FN,Precision,Recall,F1_Score
VISTA-2D,Vista_Global,20x,256,0.5,288,87.61,84.65,74.2,9013,1261,1446,87.73,86.17,86.94
VISTA-2D,Vista_20x,20x,256,0.5,288,84.26,77.93,65.85,7126,761,3333,90.35,68.13,77.68
VISTA-2D,Vista_40x,20x,256,0.5,288,81.59,61.39,51.99,3154,207,7305,93.84,30.16,45.64
VISTA-2D,Vista_Global,20x,512,0.5,72,87.7,86.31,75.73,8728,1215,1127,87.78,88.56,88.17
VISTA-2D,Vista_baseline,20x,256,0.5,288,79.5,68.43,56.01,4792,1143,5667,80.74,45.82,58.46
VISTA-2D,Vista_baseline,20x,256,0.5,288,79.5,68.43,56.01,4792,1143,5667,80.74,45.82,58.46
VISTA-2D,Vista_22e,20x,256,0.5,288,86.97,83.98,73.15,8354,815,2105,91.11,79.87,85.12
VISTA-2D,Vista_final,20x,256,0.5,288,87.28,83.31,72.81,8569,832,1890,91.15,81.93,86.29
VISTA-2D,Vista_baseline,20x,256,0.5,288,79.5,68.43,56.01,4792,1143,5667,80.74,45.82,58.46
VISTA-2D,Vista_22e,20x,256,0.5,288,86.97,83.98,73.15,8354,815,2105,91.11,79.87,85.12
VISTA-2D,Vista_final,20x,256,0.5,288,87.28,83.31,72.81,8569,832,1890,91.15,81.93,86.29
VISTA-2D,Vista_baseline,20x,512,0.5,72,80.89,70.57,57.74,4495,1111,5360,80.18,45.61,58.15
VISTA-2D,Vista_22e,20x,512,0.5,72,87.12,85.83,74.89,8098,769,1757,91.33,82.17,86.51
VISTA-2D,Vista_final,20x,512,0.5,72,87.57,85.34,74.81,8331,824,1524,91.0,84.54,87.65
VISTA-2D,Vista_baseline,20x,1024,0.5,18,81.08,71.47,58.55,4475,1053,5059,80.95,46.94,59.42
VISTA-2D,Vista_22e,20x,1024,0.5,18,87.24,86.7,75.73,7959,764,1575,91.24,83.48,87.19
VISTA-2D,Vista_final,20x,1024,0.5,18,87.71,86.49,75.93,8201,818,1333,90.93,86.02,88.41
VISTA-2D,Vista_baseline,40x,256,0.5,576,73.32,66.45,51.26,6276,1358,2333,82.21,72.9,77.28
VISTA-2D,Vista_22e,40x,256,0.5,576,85.07,81.52,70.22,6849,579,1760,92.21,79.56,85.41
VISTA-2D,Vista_final,40x,256,0.5,576,84.64,80.07,68.98,6947,646,1662,91.49,80.69,85.75
VISTA-2D,Vista_baseline,40x,512,0.5,144,75.56,68.4,52.49,5872,1241,1932,82.55,75.24,78.73
VISTA-2D,Vista_22e,40x,512,0.5,144,86.33,83.28,71.99,6399,536,1405,92.27,82.0,86.83
VISTA-2D,Vista_final,40x,512,0.5,144,86.18,83.52,72.09,6561,603,1243,91.58,84.07,87.67
VISTA-2D,Vista_baseline,40x,1024,0.5,36,76.47,71.92,55.0,5778,1205,1634,82.74,77.95,80.28
VISTA-2D,Vista_22e,40x,1024,0.5,36,86.6,84.7,73.43,6208,507,1204,92.45,83.76,87.89
VISTA-2D,Vista_final,40x,1024,0.5,36,86.72,85.33,74.08,6383,579,1029,91.68,86.12,88.81
VISTA-2D,Vista_baseline,40x,2048,0.5,9,76.45,73.45,56.14,5691,1144,1493,83.26,79.22,81.19
VISTA-2D,Vista_22e,40x,2048,0.5,9,86.62,85.86,74.44,6104,476,1080,92.77,84.97,88.7
VISTA-2D,Vista_final,40x,2048,0.5,9,86.75,86.34,74.97,6279,560,905,91.81,87.4,89.55
