Famille,Modele,Zoom,Dimension,IoU_Seuil,Nb_Images,SQ,DQ,PQ,TP,FP,FN,Precision,Recall,F1_Score
Cellpose-SAM,Cellpose_FT_Cyto_sur_PUMA,cross,1024,0.5,22,84.02,81.23,68.43,7600,1225,1984,86.12,79.3,82.57
VISTA-2D,VISTA_FT_Cyto_sur_PUMA,cross,1024,0.5,22,80.86,72.18,58.65,6751,1732,2833,79.58,70.44,74.73
Cellpose-SAM,Cellpose_FT_PUMA_sur_Cyto,cross,256,0.5,288,75.69,75.7,57.45,8334,2252,2125,78.73,79.68,79.2
VISTA-2D,VISTA_FT_PUMA_sur_Cyto,cross,256,0.5,288,84.77,77.09,65.55,7563,2374,2896,76.11,72.31,74.16
StarDist,StarDist_FT_Cyto_sur_PUMA,cross_cyto2puma,1024,0.5,22,76.61,66.68,51.46,6191,1991,3393,75.67,64.6,69.69
StarDist,StarDist_FT_PUMA_sur_Cyto,cross_puma2cyto_20x,256,0.5,288,80.05,71.11,58.24,4795,1146,5664,80.71,45.85,58.48
StarDist,StarDist_FT_PUMA_sur_Cyto,cross_puma2cyto_20x,512,0.5,72,81.07,73.79,60.4,4728,1135,5127,80.64,47.98,60.16
StarDist,StarDist_FT_PUMA_sur_Cyto,cross_puma2cyto_20x,1024,0.5,18,81.15,75.18,61.54,4692,1119,4842,80.74,49.21,61.15
StarDist,StarDist_FT_PUMA_sur_Cyto,cross_puma2cyto_40x,256,0.5,576,77.82,69.08,54.82,6430,2364,2179,73.12,74.69,73.9
StarDist,StarDist_FT_PUMA_sur_Cyto,cross_puma2cyto_40x,512,0.5,144,79.61,72.46,57.7,6212,2245,1592,73.45,79.6,76.4
StarDist,StarDist_FT_PUMA_sur_Cyto,cross_puma2cyto_40x,1024,0.5,36,79.48,74.46,59.19,6123,2200,1289,73.57,82.61,77.83
StarDist,StarDist_FT_PUMA_sur_Cyto,cross_puma2cyto_40x,2048,0.5,9,79.52,75.5,60.04,6073,2169,1111,73.68,84.54,78.74
Cellpose-SAM,Cellpose_FT_Cyto_sur_PUMA,cross_cyto2puma,1024,0.5,22,84.02,81.23,68.43,7600,1225,1984,86.12,79.3,82.57
Cellpose-SAM,Cellpose_FT_PUMA_sur_Cyto,cross_puma2cyto_20x,256,0.5,288,75.69,75.7,57.45,8334,2252,2125,78.73,79.68,79.2
Cellpose-SAM,Cellpose_FT_PUMA_sur_Cyto,cross_puma2cyto_20x,512,0.5,72,75.95,78.69,59.91,8212,2126,1643,79.44,83.33,81.34
Cellpose-SAM,Cellpose_FT_PUMA_sur_Cyto,cross_puma2cyto_20x,1024,0.5,18,76.0,80.05,60.98,8143,2038,1391,79.98,85.41,82.61
Cellpose-SAM,Cellpose_FT_PUMA_sur_Cyto,cross_puma2cyto_40x,256,0.5,576,73.38,69.74,53.34,6794,2085,1815,76.52,78.92,77.7
Cellpose-SAM,Cellpose_FT_PUMA_sur_Cyto,cross_puma2cyto_40x,512,0.5,144,76.79,74.1,57.14,6526,1939,1278,77.09,83.62,80.23
Cellpose-SAM,Cellpose_FT_PUMA_sur_Cyto,cross_puma2cyto_40x,1024,0.5,36,77.0,76.43,59.05,6369,1809,1043,77.88,85.93,81.71
Cellpose-SAM,Cellpose_FT_PUMA_sur_Cyto,cross_puma2cyto_40x,2048,0.5,9,77.28,77.39,60.0,6293,1746,891,78.28,87.6,82.68
VISTA-2D,Vista_FT_Cyto_sur_PUMA,cross_cyto2puma,1024,0.5,22,80.85,72.67,58.95,6888,1833,2696,78.98,71.87,75.26
VISTA-2D,Vista_FT_PUMA_sur_Cyto,cross_puma2cyto_20x,256,0.5,288,85.02,78.7,67.11,7532,1879,2927,80.03,72.01,75.81
VISTA-2D,Vista_FT_PUMA_sur_Cyto,cross_puma2cyto_20x,512,0.5,72,84.91,80.03,68.14,7214,1791,2641,80.11,73.2,76.5
VISTA-2D,Vista_FT_PUMA_sur_Cyto,cross_puma2cyto_20x,1024,0.5,18,84.92,80.65,68.66,7065,1745,2469,80.19,74.1,77.03
VISTA-2D,Vista_FT_PUMA_sur_Cyto,cross_puma2cyto_40x,256,0.5,576,80.9,75.49,61.86,7164,1997,1445,78.2,83.22,80.63
VISTA-2D,Vista_FT_PUMA_sur_Cyto,cross_puma2cyto_40x,512,0.5,144,81.66,77.12,63.02,6679,1840,1125,78.4,85.58,81.84
VISTA-2D,Vista_FT_PUMA_sur_Cyto,cross_puma2cyto_40x,1024,0.5,36,81.76,77.72,63.55,6425,1779,987,78.32,86.68,82.29
VISTA-2D,Vista_FT_PUMA_sur_Cyto,cross_puma2cyto_40x,2048,0.5,9,81.82,77.98,63.82,6299,1754,885,78.22,87.68,82.68
