Famille,Modele,Zoom,Dimension,IoU_Seuil,Nb_Images,SQ,DQ,PQ,TP,FP,FN,Precision,Recall,F1_Score
Cellpose-SAM,Cellpose_Baseline,20x,256,0.5,288,81.18,75.52,61.86,8330,1995,2129,80.68,79.64,80.16
Cellpose-SAM,Cellpose_FT_20x,20x,256,0.5,288,86.16,84.41,72.79,8813,1210,1646,87.93,84.26,86.06
Cellpose-SAM,Cellpose_FT_Complet,20x,256,0.5,288,86.52,84.21,72.95,8639,1007,1820,89.56,82.6,85.94
Cellpose-SAM,Cellpose_Baseline,20x,512,0.5,72,81.84,78.81,64.79,8226,1915,1629,81.12,83.47,82.28
Cellpose-SAM,Cellpose_FT_20x,20x,512,0.5,72,86.67,86.71,75.21,8584,1137,1271,88.3,87.1,87.7
Cellpose-SAM,Cellpose_FT_Complet,20x,512,0.5,72,86.94,86.38,75.2,8416,961,1439,89.75,85.4,87.52
Cellpose-SAM,Cellpose_Baseline,20x,1024,0.5,18,82.16,80.59,66.44,8197,1882,1337,81.33,85.98,83.59
Cellpose-SAM,Cellpose_FT_20x,20x,1024,0.5,18,86.93,87.7,76.29,8490,1132,1044,88.24,89.05,88.64
Cellpose-SAM,Cellpose_FT_Complet,20x,1024,0.5,18,87.24,87.68,76.57,8350,930,1184,89.98,87.58,88.76
Cellpose-SAM,Cellpose_Baseline,40x,256,0.5,576,71.02,61.59,48.64,6178,1579,2431,79.64,71.76,75.5
Cellpose-SAM,Cellpose_FT_20x,40x,256,0.5,576,84.02,80.58,68.73,7228,1141,1381,86.37,83.96,85.15
Cellpose-SAM,Cellpose_FT_Complet,40x,256,0.5,576,85.28,81.58,70.64,7009,737,1600,90.49,81.41,85.71
Cellpose-SAM,Cellpose_Baseline,40x,512,0.5,144,78.09,68.11,53.85,6069,1516,1735,80.01,77.77,78.87
Cellpose-SAM,Cellpose_FT_20x,40x,512,0.5,144,85.83,84.34,72.47,6884,1071,920,86.54,88.21,87.37
Cellpose-SAM,Cellpose_FT_Complet,40x,512,0.5,144,86.89,85.07,74.01,6672,671,1132,90.86,85.49,88.1
Cellpose-SAM,Cellpose_Baseline,40x,1024,0.5,36,78.87,71.09,56.34,6003,1486,1409,80.16,80.99,80.57
Cellpose-SAM,Cellpose_FT_20x,40x,1024,0.5,36,86.41,85.69,74.11,6707,1026,705,86.73,90.49,88.57
Cellpose-SAM,Cellpose_FT_Complet,40x,1024,0.5,36,87.15,86.73,75.67,6498,621,914,91.28,87.67,89.44
Cellpose-SAM,Cellpose_Baseline,40x,2048,0.5,9,79.64,72.42,57.81,5936,1484,1248,80.0,82.63,81.29
Cellpose-SAM,Cellpose_FT_20x,40x,2048,0.5,9,86.44,86.99,75.24,6619,985,565,87.05,92.14,89.52
Cellpose-SAM,Cellpose_FT_Complet,40x,2048,0.5,9,87.36,87.73,76.7,6414,609,770,91.33,89.28,90.29
Cellpose-SAM,Cellpose_FT_40x,20x,256,0.5,288,86.18,83.07,71.69,8472,1013,1987,89.32,81.0,84.96
Cellpose-SAM,Cellpose_FT_40x,20x,512,0.5,72,86.57,85.24,73.91,8226,952,1629,89.63,83.47,86.44
Cellpose-SAM,Cellpose_FT_40x,20x,1024,0.5,18,86.78,86.5,75.16,8145,940,1389,89.65,85.43,87.49
Cellpose-SAM,Cellpose_FT_40x,40x,256,0.5,576,85.01,81.4,70.28,7189,923,1420,88.62,83.51,85.99
Cellpose-SAM,Cellpose_FT_40x,40x,512,0.5,144,86.65,85.14,73.86,6833,833,971,89.13,87.56,88.34
Cellpose-SAM,Cellpose_FT_40x,40x,1024,0.5,36,86.94,86.71,75.46,6638,779,774,89.5,89.56,89.53
Cellpose-SAM,Cellpose_FT_40x,40x,2048,0.5,9,87.15,87.78,76.56,6544,755,640,89.66,91.09,90.37
VISTA-2D,Vista_baseline,20x,256,0.5,288,79.5,68.43,56.01,4792,1143,5667,80.74,45.82,58.46
VISTA-2D,Vista_FT_CYTO,20x,256,0.5,288,86.66,85.07,73.81,9080,1563,1379,85.31,86.82,86.06
VISTA-2D,Vista_baseline,20x,512,0.5,72,80.89,70.57,57.74,4495,1111,5360,80.18,45.61,58.15
VISTA-2D,Vista_FT_CYTO,20x,512,0.5,72,86.92,86.36,75.15,8719,1466,1136,85.61,88.47,87.02
VISTA-2D,Vista_baseline,20x,1024,0.5,18,81.08,71.47,58.55,4475,1053,5059,80.95,46.94,59.42
VISTA-2D,Vista_FT_CYTO,20x,1024,0.5,18,86.99,86.99,75.74,8557,1442,977,85.58,89.75,87.62
VISTA-2D,Vista_baseline,40x,256,0.5,576,73.32,66.45,51.26,6276,1358,2333,82.21,72.9,77.28
VISTA-2D,Vista_FT_CYTO,40x,256,0.5,576,85.29,82.11,70.88,7172,868,1437,89.2,83.31,86.16
VISTA-2D,Vista_baseline,40x,512,0.5,144,75.56,68.4,52.49,5872,1241,1932,82.55,75.24,78.73
VISTA-2D,Vista_FT_CYTO,40x,512,0.5,144,86.29,84.17,72.73,6628,756,1176,89.76,84.93,87.28
VISTA-2D,Vista_baseline,40x,1024,0.5,36,76.47,71.92,55.0,5778,1205,1634,82.74,77.95,80.28
VISTA-2D,Vista_FT_CYTO,40x,1024,0.5,36,86.63,85.23,73.92,6372,707,1040,90.01,85.97,87.94
VISTA-2D,Vista_baseline,40x,2048,0.5,9,76.45,73.45,56.14,5691,1144,1493,83.26,79.22,81.19
VISTA-2D,Vista_FT_CYTO,40x,2048,0.5,9,86.54,86.19,74.64,6264,676,920,90.26,87.19,88.7

