epoch	metric	loss	iter	time	train_time	validation_time	epoch_time
epoch	metric	loss	iter	time	train_time	validation_time	epoch_time
4	0.7424	0.3495	18400	0.51 hr	739.77s	368.56s	1108.33s
9	0.7604	0.3165	41400	1.64 hr	739.07s	364.40s	1103.48s
14	0.7640	0.2985	64400	2.77 hr	737.52s	364.60s	1102.12s
19	0.7621	0.2886	87400	3.90 hr	738.77s	363.16s	1101.93s
24	0.7531	0.2834	110400	5.03 hr	739.23s	363.96s	1103.18s
29	0.7471	0.2759	133400	6.15 hr	736.30s	364.18s	1100.48s
34	0.7362	0.2682	156400	7.28 hr	737.83s	361.88s	1099.72s
39	0.7455	0.2613	179400	8.41 hr	739.28s	363.11s	1102.40s
44	0.7534	0.2536	202400	9.53 hr	738.76s	363.32s	1102.08s
