epoch	metric	loss	iter	time	train_time	validation_time	epoch_time
4	0.8339	0.5182	612	0.06 hr	25.33s	112.77s	138.10s
9	0.8255	0.4918	1377	0.13 hr	25.56s	109.86s	135.42s
14	0.8315	0.4928	2142	0.19 hr	25.29s	110.23s	135.53s
19	0.8403	0.4613	2907	0.26 hr	25.38s	109.83s	135.21s
24	0.8299	0.4580	3672	0.33 hr	25.35s	110.53s	135.88s
29	0.8153	0.4721	4437	0.40 hr	25.35s	112.73s	138.08s
34	0.8378	0.4389	5202	0.46 hr	25.53s	110.94s	136.47s
39	0.8154	0.4990	5967	0.53 hr	25.59s	110.34s	135.93s
44	0.8419	0.4569	6732	0.60 hr	25.49s	110.08s	135.58s
49	0.8255	0.4665	7497	0.67 hr	25.38s	112.91s	138.30s
54	0.7955	0.4416	8262	0.73 hr	25.58s	111.11s	136.69s
59	0.8411	0.4380	9027	0.80 hr	25.39s	110.09s	135.48s
64	0.8330	0.4581	9792	0.87 hr	25.42s	109.92s	135.34s
